,amm15_lon,amm15_lat,amm7_lon,amm7_lat
0,0,451,3,149
1,0,452,3,149
2,0,453,3,149
3,0,454,3,150
4,0,455,3,150
5,0,456,2,150
6,1,456,3,150
7,0,457,2,150
8,1,457,3,150
9,0,458,2,150
10,1,458,3,150
11,0,459,2,151
12,1,459,3,151
13,0,460,2,151
14,1,460,2,151
15,2,460,3,151
16,0,461,2,151
17,1,461,2,151
18,2,461,3,151
19,0,462,2,151
20,1,462,2,151
21,2,462,3,151
22,0,463,2,151
23,1,463,2,151
24,2,463,3,152
25,0,464,2,152
26,1,464,2,152
27,2,464,2,152
28,3,464,3,152
29,0,465,2,152
30,1,465,2,152
31,2,465,2,152
32,3,465,3,152
33,0,466,2,152
34,1,466,2,152
35,2,466,2,152
36,3,466,3,152
37,0,467,2,152
38,1,467,2,152
39,2,467,2,152
40,3,467,3,152
41,0,468,2,152
42,1,468,2,152
43,2,468,2,152
44,3,468,2,153
45,4,468,3,153
46,0,469,2,153
47,1,469,2,153
48,2,469,2,153
49,3,469,2,153
50,4,469,3,153
51,0,470,2,153
52,1,470,2,153
53,2,470,2,153
54,3,470,2,153
55,4,470,3,153
56,0,471,2,153
57,1,471,2,153
58,2,471,2,153
59,3,471,2,153
60,4,471,3,153
61,0,472,2,153
62,1,472,2,153
63,2,472,2,153
64,3,472,2,153
65,4,472,3,153
66,5,472,3,153
67,0,473,2,153
68,1,473,2,153
69,2,473,2,153
70,3,473,2,154
71,4,473,2,154
72,5,473,3,154
73,0,474,2,154
74,1,474,2,154
75,2,474,2,154
76,3,474,2,154
77,4,474,2,154
78,5,474,3,154
79,0,475,2,154
80,1,475,2,154
81,2,475,2,154
82,3,475,2,154
83,4,475,2,154
84,5,475,3,154
85,0,476,2,154
86,1,476,2,154
87,2,476,2,154
88,3,476,2,154
89,4,476,2,154
90,5,476,3,154
91,6,476,3,154
92,0,477,2,154
93,1,477,2,154
94,2,477,2,154
95,3,477,2,154
96,4,477,2,154
97,5,477,2,154
98,6,477,3,154
99,0,478,1,154
100,1,478,2,154
101,2,478,2,154
102,3,478,2,155
103,4,478,2,155
104,5,478,2,155
105,6,478,3,155
106,0,479,1,155
107,1,479,2,155
108,2,479,2,155
109,3,479,2,155
110,4,479,2,155
111,5,479,2,155
112,6,479,3,155
113,0,480,1,155
114,1,480,2,155
115,2,480,2,155
116,3,480,2,155
117,4,480,2,155
118,5,480,2,155
119,6,480,3,155
120,0,481,1,155
121,1,481,2,155
122,2,481,2,155
123,3,481,2,155
124,4,481,2,155
125,5,481,2,155
126,6,481,2,155
127,7,481,3,155
128,0,482,1,155
129,1,482,2,155
130,2,482,2,155
131,3,482,2,155
132,4,482,2,155
133,5,482,2,155
134,6,482,2,155
135,7,482,3,155
136,0,483,1,155
137,1,483,1,155
138,2,483,2,155
139,3,483,2,155
140,4,483,2,156
141,5,483,2,156
142,6,483,2,156
143,7,483,3,156
144,0,484,1,156
145,1,484,1,156
146,2,484,2,156
147,3,484,2,156
148,4,484,2,156
149,5,484,2,156
150,6,484,2,156
151,7,484,3,156
152,0,485,1,156
153,1,485,1,156
154,2,485,2,156
155,3,485,2,156
156,4,485,2,156
157,5,485,2,156
158,6,485,2,156
159,7,485,2,156
160,8,485,3,156
161,0,486,1,156
162,1,486,1,156
163,2,486,2,156
164,3,486,2,156
165,4,486,2,156
166,5,486,2,156
167,6,486,2,156
168,7,486,2,156
169,8,486,3,156
170,0,487,1,156
171,1,487,1,156
172,2,487,1,156
173,3,487,2,156
174,4,487,2,156
175,5,487,2,156
176,6,487,2,156
177,7,487,2,156
178,8,487,3,157
179,0,488,1,156
180,1,488,1,156
181,2,488,1,156
182,3,488,2,156
183,4,488,2,157
184,5,488,2,157
185,6,488,2,157
186,7,488,2,157
187,8,488,3,157
188,0,489,1,157
189,1,489,1,157
190,2,489,1,157
191,3,489,2,157
192,4,489,2,157
193,5,489,2,157
194,6,489,2,157
195,7,489,2,157
196,8,489,2,157
197,9,489,3,157
198,0,490,1,157
199,1,490,1,157
200,2,490,1,157
201,3,490,2,157
202,4,490,2,157
203,5,490,2,157
204,6,490,2,157
205,7,490,2,157
206,8,490,2,157
207,9,490,3,157
208,0,491,1,157
209,1,491,1,157
210,2,491,1,157
211,3,491,1,157
212,4,491,2,157
213,5,491,2,157
214,6,491,2,157
215,7,491,2,157
216,8,491,2,157
217,9,491,3,157
218,0,492,1,157
219,1,492,1,157
220,2,492,1,157
221,3,492,1,157
222,4,492,2,157
223,5,492,2,157
224,6,492,2,157
225,7,492,2,157
226,8,492,2,157
227,9,492,3,158
228,0,493,1,157
229,1,493,1,157
230,2,493,1,157
231,3,493,1,157
232,4,493,2,158
233,5,493,2,158
234,6,493,2,158
235,7,493,2,158
236,8,493,2,158
237,9,493,2,158
238,10,493,3,158
239,0,494,1,158
240,1,494,1,158
241,2,494,1,158
242,3,494,1,158
243,4,494,2,158
244,5,494,2,158
245,6,494,2,158
246,7,494,2,158
247,8,494,2,158
248,9,494,2,158
249,10,494,3,158
250,0,495,1,158
251,1,495,1,158
252,2,495,1,158
253,3,495,1,158
254,4,495,1,158
255,5,495,2,158
256,6,495,2,158
257,7,495,2,158
258,8,495,2,158
259,9,495,2,158
260,10,495,3,158
261,0,496,1,158
262,1,496,1,158
263,2,496,1,158
264,3,496,1,158
265,4,496,1,158
266,5,496,2,158
267,6,496,2,158
268,7,496,2,158
269,8,496,2,158
270,9,496,2,158
271,10,496,3,158
272,0,497,1,158
273,1,497,1,158
274,2,497,1,158
275,3,497,1,158
276,4,497,1,158
277,5,497,2,158
278,6,497,2,158
279,7,497,2,158
280,8,497,2,158
281,9,497,2,159
282,10,497,3,159
283,11,497,3,159
284,0,498,1,158
285,1,498,1,158
286,2,498,1,158
287,3,498,1,158
288,4,498,1,158
289,5,498,2,159
290,6,498,2,159
291,7,498,2,159
292,8,498,2,159
293,9,498,2,159
294,10,498,2,159
295,11,498,3,159
296,0,499,1,158
297,1,499,1,159
298,2,499,1,159
299,3,499,1,159
300,4,499,1,159
301,5,499,1,159
302,6,499,2,159
303,7,499,2,159
304,8,499,2,159
305,9,499,2,159
306,10,499,2,159
307,11,499,3,159
308,0,500,1,159
309,1,500,1,159
310,2,500,1,159
311,3,500,1,159
312,4,500,1,159
313,5,500,1,159
314,6,500,2,159
315,7,500,2,159
316,8,500,2,159
317,9,500,2,159
318,10,500,2,159
319,11,500,3,159
320,0,501,1,159
321,1,501,1,159
322,2,501,1,159
323,3,501,1,159
324,4,501,1,159
325,5,501,1,159
326,6,501,2,159
327,7,501,2,159
328,8,501,2,159
329,9,501,2,159
330,10,501,2,159
331,11,501,3,159
332,0,502,1,159
333,1,502,1,159
334,2,502,1,159
335,3,502,1,159
336,4,502,1,159
337,5,502,1,159
338,6,502,2,159
339,7,502,2,159
340,8,502,2,159
341,9,502,2,160
342,10,502,2,160
343,11,502,2,160
344,12,502,3,160
345,0,503,1,159
346,1,503,1,159
347,2,503,1,159
348,3,503,1,159
349,4,503,1,159
350,5,503,1,160
351,6,503,1,160
352,7,503,2,160
353,8,503,2,160
354,9,503,2,160
355,10,503,2,160
356,11,503,2,160
357,12,503,3,160
358,0,504,1,159
359,1,504,1,160
360,2,504,1,160
361,3,504,1,160
362,4,504,1,160
363,5,504,1,160
364,6,504,1,160
365,7,504,2,160
366,8,504,2,160
367,9,504,2,160
368,10,504,2,160
369,11,504,2,160
370,12,504,3,160
371,0,505,1,160
372,1,505,1,160
373,2,505,1,160
374,3,505,1,160
375,4,505,1,160
376,5,505,1,160
377,6,505,1,160
378,7,505,2,160
379,8,505,2,160
380,9,505,2,160
381,10,505,2,160
382,11,505,2,160
383,12,505,3,160
384,0,506,1,160
385,1,506,1,160
386,2,506,1,160
387,3,506,1,160
388,4,506,1,160
389,5,506,1,160
390,6,506,1,160
391,7,506,2,160
392,8,506,2,160
393,9,506,2,160
394,10,506,2,160
395,11,506,2,160
396,12,506,2,160
397,13,506,3,160
398,0,507,1,160
399,1,507,1,160
400,2,507,1,160
401,3,507,1,160
402,4,507,1,160
403,5,507,1,160
404,6,507,1,160
405,7,507,1,160
406,8,507,2,160
407,9,507,2,160
408,10,507,2,161
409,11,507,2,161
410,12,507,2,161
411,13,507,3,161
412,0,508,1,160
413,1,508,1,160
414,2,508,1,160
415,3,508,1,160
416,4,508,1,160
417,5,508,1,161
418,6,508,1,161
419,7,508,1,161
420,8,508,2,161
421,9,508,2,161
422,10,508,2,161
423,11,508,2,161
424,12,508,2,161
425,13,508,3,161
426,0,509,1,160
427,1,509,1,161
428,2,509,1,161
429,3,509,1,161
430,4,509,1,161
431,5,509,1,161
432,6,509,1,161
433,7,509,1,161
434,8,509,2,161
435,9,509,2,161
436,10,509,2,161
437,11,509,2,161
438,12,509,2,161
439,13,509,3,161
440,0,510,1,161
441,1,510,1,161
442,2,510,1,161
443,3,510,1,161
444,4,510,1,161
445,5,510,1,161
446,6,510,1,161
447,7,510,1,161
448,8,510,2,161
449,9,510,2,161
450,10,510,2,161
451,11,510,2,161
452,12,510,2,161
453,13,510,2,161
454,14,510,3,161
455,0,511,1,161
456,1,511,1,161
457,2,511,1,161
458,3,511,1,161
459,4,511,1,161
460,5,511,1,161
461,6,511,1,161
462,7,511,1,161
463,8,511,2,161
464,9,511,2,161
465,10,511,2,161
466,11,511,2,161
467,12,511,2,161
468,13,511,2,161
469,14,511,3,162
470,0,512,1,161
471,1,512,1,161
472,2,512,1,161
473,3,512,1,161
474,4,512,1,161
475,5,512,1,161
476,6,512,1,161
477,7,512,1,161
478,8,512,1,161
479,9,512,2,161
480,10,512,2,162
481,11,512,2,162
482,12,512,2,162
483,13,512,2,162
484,14,512,3,162
485,0,513,1,161
486,1,513,1,161
487,2,513,1,161
488,3,513,1,161
489,4,513,1,161
490,5,513,1,161
491,6,513,1,162
492,7,513,1,162
493,8,513,1,162
494,9,513,2,162
495,10,513,2,162
496,11,513,2,162
497,12,513,2,162
498,13,513,2,162
499,14,513,3,162
500,0,514,1,161
501,1,514,1,161
502,2,514,1,162
503,3,514,1,162
504,4,514,1,162
505,5,514,1,162
506,6,514,1,162
507,7,514,1,162
508,8,514,1,162
509,9,514,2,162
510,10,514,2,162
511,11,514,2,162
512,12,514,2,162
513,13,514,2,162
514,14,514,2,162
515,15,514,3,162
516,0,515,1,162
517,1,515,1,162
518,2,515,1,162
519,3,515,1,162
520,4,515,1,162
521,5,515,1,162
522,6,515,1,162
523,7,515,1,162
524,8,515,1,162
525,9,515,2,162
526,10,515,2,162
527,11,515,2,162
528,12,515,2,162
529,13,515,2,162
530,14,515,2,162
531,15,515,3,162
532,0,516,1,162
533,1,516,1,162
534,2,516,1,162
535,3,516,1,162
536,4,516,1,162
537,5,516,1,162
538,6,516,1,162
539,7,516,1,162
540,8,516,1,162
541,9,516,1,162
542,10,516,2,162
543,11,516,2,162
544,12,516,2,162
545,13,516,2,162
546,14,516,2,163
547,15,516,3,163
548,0,517,1,162
549,1,517,1,162
550,2,517,1,162
551,3,517,1,162
552,4,517,1,162
553,5,517,1,162
554,6,517,1,162
555,7,517,1,162
556,8,517,1,162
557,9,517,1,162
558,10,517,2,163
559,11,517,2,163
560,12,517,2,163
561,13,517,2,163
562,14,517,2,163
563,15,517,3,163
564,0,518,1,162
565,1,518,1,162
566,2,518,1,162
567,3,518,1,162
568,4,518,1,162
569,5,518,1,162
570,6,518,1,163
571,7,518,1,163
572,8,518,1,163
573,9,518,1,163
574,10,518,2,163
575,11,518,2,163
576,12,518,2,163
577,13,518,2,163
578,14,518,2,163
579,15,518,2,163
580,16,518,3,163
581,0,519,1,162
582,1,519,1,162
583,2,519,1,163
584,3,519,1,163
585,4,519,1,163
586,5,519,1,163
587,6,519,1,163
588,7,519,1,163
589,8,519,1,163
590,9,519,1,163
591,10,519,2,163
592,11,519,2,163
593,12,519,2,163
594,13,519,2,163
595,14,519,2,163
596,15,519,2,163
597,16,519,3,163
598,0,520,1,163
599,1,520,1,163
600,2,520,1,163
601,3,520,1,163
602,4,520,1,163
603,5,520,1,163
604,6,520,1,163
605,7,520,1,163
606,8,520,1,163
607,9,520,1,163
608,10,520,1,163
609,11,520,2,163
610,12,520,2,163
611,13,520,2,163
612,14,520,2,163
613,15,520,2,163
614,16,520,3,163
615,0,521,1,163
616,1,521,1,163
617,2,521,1,163
618,3,521,1,163
619,4,521,1,163
620,5,521,1,163
621,6,521,1,163
622,7,521,1,163
623,8,521,1,163
624,9,521,1,163
625,10,521,1,163
626,11,521,2,163
627,12,521,2,163
628,13,521,2,163
629,14,521,2,163
630,15,521,2,164
631,16,521,3,164
632,0,522,1,163
633,1,522,1,163
634,2,522,1,163
635,3,522,1,163
636,4,522,1,163
637,5,522,1,163
638,6,522,1,163
639,7,522,1,163
640,8,522,1,163
641,9,522,1,163
642,10,522,1,163
643,11,522,2,164
644,12,522,2,164
645,13,522,2,164
646,14,522,2,164
647,15,522,2,164
648,16,522,3,164
649,17,522,3,164
650,0,523,1,163
651,1,523,1,163
652,2,523,1,163
653,3,523,1,163
654,4,523,1,163
655,5,523,1,163
656,6,523,1,164
657,7,523,1,164
658,8,523,1,164
659,9,523,1,164
660,10,523,1,164
661,11,523,2,164
662,12,523,2,164
663,13,523,2,164
664,14,523,2,164
665,15,523,2,164
666,16,523,2,164
667,17,523,3,164
668,0,524,1,163
669,1,524,1,163
670,2,524,1,164
671,3,524,1,164
672,4,524,1,164
673,5,524,1,164
674,6,524,1,164
675,7,524,1,164
676,8,524,1,164
677,9,524,1,164
678,10,524,1,164
679,11,524,1,164
680,12,524,2,164
681,13,524,2,164
682,14,524,2,164
683,15,524,2,164
684,16,524,2,164
685,17,524,3,164
686,0,525,1,164
687,1,525,1,164
688,2,525,1,164
689,3,525,1,164
690,4,525,1,164
691,5,525,1,164
692,6,525,1,164
693,7,525,1,164
694,8,525,1,164
695,9,525,1,164
696,10,525,1,164
697,11,525,1,164
698,12,525,2,164
699,13,525,2,164
700,14,525,2,164
701,15,525,2,164
702,16,525,2,164
703,17,525,3,164
704,0,526,1,164
705,1,526,1,164
706,2,526,1,164
707,3,526,1,164
708,4,526,1,164
709,5,526,1,164
710,6,526,1,164
711,7,526,1,164
712,8,526,1,164
713,9,526,1,164
714,10,526,1,164
715,11,526,1,164
716,12,526,2,164
717,13,526,2,164
718,14,526,2,164
719,15,526,2,165
720,16,526,2,165
721,17,526,3,165
722,0,527,1,164
723,1,527,1,164
724,2,527,1,164
725,3,527,1,164
726,4,527,1,164
727,5,527,1,164
728,6,527,1,164
729,7,527,1,164
730,8,527,1,164
731,9,527,1,164
732,10,527,1,164
733,11,527,1,165
734,12,527,2,165
735,13,527,2,165
736,14,527,2,165
737,15,527,2,165
738,16,527,2,165
739,17,527,2,165
740,18,527,3,165
741,0,528,1,164
742,1,528,1,164
743,2,528,1,164
744,3,528,1,164
745,4,528,1,164
746,5,528,1,164
747,6,528,1,164
748,7,528,1,165
749,8,528,1,165
750,9,528,1,165
751,10,528,1,165
752,11,528,1,165
753,12,528,1,165
754,13,528,2,165
755,14,528,2,165
756,15,528,2,165
757,16,528,2,165
758,17,528,2,165
759,18,528,3,165
760,0,529,1,164
761,1,529,1,164
762,2,529,1,164
763,3,529,1,165
764,4,529,1,165
765,5,529,1,165
766,6,529,1,165
767,7,529,1,165
768,8,529,1,165
769,9,529,1,165
770,10,529,1,165
771,11,529,1,165
772,12,529,1,165
773,13,529,2,165
774,14,529,2,165
775,15,529,2,165
776,16,529,2,165
777,17,529,2,165
778,18,529,3,165
779,0,530,1,165
780,1,530,1,165
781,2,530,1,165
782,3,530,1,165
783,4,530,1,165
784,5,530,1,165
785,6,530,1,165
786,7,530,1,165
787,8,530,1,165
788,9,530,1,165
789,10,530,1,165
790,11,530,1,165
791,12,530,1,165
792,13,530,2,165
793,14,530,2,165
794,15,530,2,165
795,16,530,2,165
796,17,530,2,165
797,18,530,3,165
798,0,531,1,165
799,1,531,1,165
800,2,531,1,165
801,3,531,1,165
802,4,531,1,165
803,5,531,1,165
804,6,531,1,165
805,7,531,1,165
806,8,531,1,165
807,9,531,1,165
808,10,531,1,165
809,11,531,1,165
810,12,531,1,165
811,13,531,2,165
812,14,531,2,165
813,15,531,2,166
814,16,531,2,166
815,17,531,2,166
816,18,531,2,166
817,19,531,3,166
818,0,532,1,165
819,1,532,1,165
820,2,532,1,165
821,3,532,1,165
822,4,532,1,165
823,5,532,1,165
824,6,532,1,165
825,7,532,1,165
826,8,532,1,165
827,9,532,1,165
828,10,532,1,165
829,11,532,1,166
830,12,532,1,166
831,13,532,1,166
832,14,532,2,166
833,15,532,2,166
834,16,532,2,166
835,17,532,2,166
836,18,532,2,166
837,19,532,3,166
838,0,533,1,165
839,1,533,1,165
840,2,533,1,165
841,3,533,1,165
842,4,533,1,165
843,5,533,1,165
844,6,533,1,165
845,7,533,1,166
846,8,533,1,166
847,9,533,1,166
848,10,533,1,166
849,11,533,1,166
850,12,533,1,166
851,13,533,1,166
852,14,533,2,166
853,15,533,2,166
854,16,533,2,166
855,17,533,2,166
856,18,533,2,166
857,19,533,3,166
858,0,534,1,165
859,1,534,1,165
860,2,534,1,165
861,3,534,1,166
862,4,534,1,166
863,5,534,1,166
864,6,534,1,166
865,7,534,1,166
866,8,534,1,166
867,9,534,1,166
868,10,534,1,166
869,11,534,1,166
870,12,534,1,166
871,13,534,1,166
872,14,534,2,166
873,15,534,2,166
874,16,534,2,166
875,17,534,2,166
876,18,534,2,166
877,19,534,3,166
878,0,535,1,166
879,1,535,1,166
880,2,535,1,166
881,3,535,1,166
882,4,535,1,166
883,5,535,1,166
884,6,535,1,166
885,7,535,1,166
886,8,535,1,166
887,9,535,1,166
888,10,535,1,166
889,11,535,1,166
890,12,535,1,166
891,13,535,1,166
892,14,535,2,166
893,15,535,2,166
894,16,535,2,166
895,17,535,2,166
896,18,535,2,166
897,19,535,2,166
